"Site","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"C-foret","2","2","3","1","2","1","2","3","1","2","1","2","2","1","2",NA
"C-lisiere","2","1","3","1","2","1","1","2","2","2","1","2","2","1","2",NA
"E-foret","1","1","3","1","2","1","1","2","1","3","1","2","2","1","1","1"
"E-lisiere","1","1","2","1","2","1","1","3","1","3","1","3","2","1","1","1"
"F-foret","1","2","2","1","2","1","2","2","1","2","1","2","2","1","1","1"
"F-lisiere","1","2","3","1","2","1","2","2","1","3","1","3","2","1","1","1"
"Francine-3","1","1","2","1","2","2","2","3","1","3","2","2","1","1","2",NA
"G-foret",NA,"2","3","1","2","2","2","3","2","2","1","2","2","1","1","1"
"G-lisiere","2","1","2","1","2","2","2","2","1","3","2","2","2","1","2","1"
"H-lisiere","1","1","2","1","2","1","2","3","2","2","2","2","1","1","1",NA
"J-foret","1","1","3","1","2","1","1","3","1","3","1","2","1","1","1",NA
"J-lisiere","1","1","2","1","2","1","2","2","2","2","1","3","2","1","1",NA
"K-foret","1","1","2","1","2","1","3","3","1","2","1","3","1","1","1",NA
"K-lisiere","1","1","3","2","2","1","2","2","1","2","1","3",NA,"1","1",NA
"L-foret_O-lisiere","1","1","2","2","2","1","2","3","1","2","1","3","1","1","1",NA
"L-lisiere","1","1","3","2","2","2","2","3","1","2","1","3","1","1","1",NA
"M-foret","2","1","2","2","2","2","2","2","2","2","2","3","2","2","2",NA
"M-lisiere","3","2","3","2","2","3","2","2","2","2","2","3","2","2","1",NA
"N-foret","2","2","3","2","2","1","2","2","1","2","2","3","2","2","1",NA
"N-lisiere","2","1","3","1","3","2","2","3","1","2","1","3","3","2","2",NA
"P-lisiere","1","1","2","1","3","2","2","3","1","3","1","2","2","1","1",NA
"Q-lisiere","1","1","3","2","3","1","2","3","1","3","2","2","2","1","2",NA
"W-lisiere","1","2","3","2","2","1","1","3","1","3","2","3","2","1","2",NA
"X-foret_X-lisiere","1","1","3","1","2","1","1","3","1","3","1","3","2","1","2",NA
"Y-lisiere","2","1","3","1","3","1","1","3","1","3","1","3","2","1","1",NA
"Z-lisiere","1","1","3","2","2","1","1","3","1","3","1","3","2","1","1",NA
